pattern,direction,bucket,signals,correct,incorrect,inconclusive,precision
m_top,sell,"[0.0, 0.3)",463,159,285,19,0.3581
m_top,sell,"[0.3, 0.6)",150,51,92,7,0.3566
m_top,sell,"[0.6, 0.9)",74,10,51,13,0.1639
m_top,sell,"[0.9, 2.0)",17,12,5,0,0.7059
descending_flag,sell,"[0.0, 0.3)",101,22,73,6,0.2316
descending_flag,sell,"[0.3, 0.6)",19,7,10,2,0.4118
descending_flag,sell,"[0.6, 0.9)",7,1,6,0,0.1429
descending_flag,sell,"[0.9, 2.0)",1,0,1,0,0.0000
diamond_top,sell,"[0.0, 0.3)",1107,218,833,56,0.2074
diamond_top,sell,"[0.3, 0.6)",205,39,112,54,0.2583
diamond_top,sell,"[0.6, 0.9)",153,49,76,28,0.3920
diamond_top,sell,"[0.9, 2.0)",20,4,9,7,0.3077
rectangle,neutral,"[0.0, 0.3)",0,0,0,0,0.0000
rectangle,neutral,"[0.3, 0.6)",0,0,0,0,0.0000
rectangle,neutral,"[0.6, 0.9)",0,0,0,0,0.0000
rectangle,neutral,"[0.9, 2.0)",0,0,0,0,0.0000
w_bottom,buy,"[0.0, 0.3)",740,182,542,16,0.2514
w_bottom,buy,"[0.3, 0.6)",510,169,272,69,0.3832
w_bottom,buy,"[0.6, 0.9)",195,38,121,36,0.2390
w_bottom,buy,"[0.9, 2.0)",39,7,2,30,0.7778
ascending_flag,buy,"[0.0, 0.3)",28,6,22,0,0.2143
ascending_flag,buy,"[0.3, 0.6)",16,3,7,6,0.3000
ascending_flag,buy,"[0.6, 0.9)",3,1,2,0,0.3333
ascending_flag,buy,"[0.9, 2.0)",3,2,1,0,0.6667
ascending_wedge,buy,"[0.0, 0.3)",400,71,326,3,0.1788
ascending_wedge,buy,"[0.3, 0.6)",151,51,79,21,0.3923
ascending_wedge,buy,"[0.6, 0.9)",70,18,43,9,0.2951
ascending_wedge,buy,"[0.9, 2.0)",17,14,3,0,0.8235
