date,stock_id,pattern,direction,lf,bucket,avg_vol,close,composite,fwd_return,outcome
2024-05-22,1503,diamond_top,sell,0.5586,"[0.3, 0.6)",13096835,242.00,0.2252,0.167355,incorrect
2024-05-22,1519,diamond_top,sell,0.4924,"[0.3, 0.6)",9656955,690.00,0.1726,0.347826,incorrect
2024-05-22,1711,diamond_top,sell,0.0417,"[0.0, 0.3)",1211616,19.45,0.0152,-0.028278,incorrect
2024-05-22,1727,diamond_top,sell,0.0000,"[0.0, 0.3)",553214,29.10,0.0000,0.008591,incorrect
2024-05-22,2303,ascending_wedge,buy,0.8726,"[0.6, 0.9)",55617750,55.00,0.1510,0.032727,incorrect
2024-05-22,1809,w_bottom,buy,0.3063,"[0.3, 0.6)",4099077,26.70,0.0338,-0.091760,incorrect
2024-05-22,1536,w_bottom,buy,0.1225,"[0.0, 0.3)",1757586,55.60,0.0127,0.012590,incorrect
2024-05-22,1527,w_bottom,buy,0.0000,"[0.0, 0.3)",498542,43.75,0.0000,0.005714,incorrect
2024-05-23,1612,descending_flag,sell,0.4993,"[0.3, 0.6)",9969889,37.70,0.3433,0.045093,incorrect
2024-05-23,1522,diamond_top,sell,0.5371,"[0.3, 0.6)",11865151,59.20,0.2491,0.195946,incorrect
2024-05-23,1503,diamond_top,sell,0.5431,"[0.3, 0.6)",12193754,236.00,0.2189,0.258475,incorrect
2024-05-23,1615,diamond_top,sell,0.1769,"[0.0, 0.3)",2257956,67.10,0.0614,0.068554,incorrect
2024-05-23,4961,diamond_top,sell,0.2105,"[0.0, 0.3)",2635890,253.50,0.0273,0.124260,incorrect
2024-05-23,1711,diamond_top,sell,0.0474,"[0.0, 0.3)",1243691,19.25,0.0243,-0.012987,incorrect
2024-05-23,1616,m_top,sell,0.3205,"[0.3, 0.6)",4374981,23.85,0.0108,0.071279,incorrect
2024-05-23,1727,diamond_top,sell,0.0000,"[0.0, 0.3)",553216,28.70,0.0000,0.024390,incorrect
2024-05-23,1583,diamond_top,sell,0.0000,"[0.0, 0.3)",31994,73.00,0.0000,-0.049315,incorrect
2024-05-23,1525,diamond_top,sell,0.0000,"[0.0, 0.3)",31543,70.10,0.0000,0.104137,incorrect
2024-05-23,1455,ascending_flag,buy,0.2435,"[0.0, 0.3)",3069586,14.40,0.1805,-0.024306,incorrect
2024-05-23,1809,w_bottom,buy,0.3467,"[0.3, 0.6)",4935986,29.35,0.0588,-0.173765,incorrect
2024-05-24,1615,diamond_top,sell,0.1752,"[0.0, 0.3)",2241201,67.00,0.0609,0.058209,incorrect
2024-05-24,4961,diamond_top,sell,0.2111,"[0.0, 0.3)",2643755,255.00,0.0302,0.115686,incorrect
2024-05-24,1711,diamond_top,sell,0.0473,"[0.0, 0.3)",1243378,19.25,0.0243,0.015584,incorrect
2024-05-24,1455,diamond_top,sell,0.2308,"[0.0, 0.3)",2894151,14.35,0.0098,-0.020906,incorrect
2024-05-24,1727,diamond_top,sell,0.0000,"[0.0, 0.3)",555727,28.85,0.0000,0.065858,incorrect
2024-05-24,1583,diamond_top,sell,0.0000,"[0.0, 0.3)",30075,72.30,0.0000,-0.040111,incorrect
2024-05-24,1809,w_bottom,buy,0.3781,"[0.3, 0.6)",5705459,28.50,0.0641,-0.140351,incorrect
2024-05-27,1615,diamond_top,sell,0.1747,"[0.0, 0.3)",2236083,67.40,0.0607,0.040059,incorrect
2024-05-27,4961,diamond_top,sell,0.2106,"[0.0, 0.3)",2637689,254.50,0.0543,0.072692,incorrect
2024-05-27,1711,diamond_top,sell,0.0542,"[0.0, 0.3)",1283519,19.40,0.0278,0.000000,incorrect
2024-05-27,1455,diamond_top,sell,0.2169,"[0.0, 0.3)",2715118,14.45,0.0030,-0.031142,incorrect
2024-05-27,1583,diamond_top,sell,0.0000,"[0.0, 0.3)",27844,71.80,0.0000,-0.032033,incorrect
2024-05-27,1809,w_bottom,buy,0.3959,"[0.3, 0.6)",6192488,27.10,0.0514,-0.119926,incorrect
2024-05-27,1536,w_bottom,buy,0.1360,"[0.0, 0.3)",1870903,55.60,0.0128,-0.014388,incorrect
2024-05-28,1455,diamond_top,sell,0.1949,"[0.0, 0.3)",2453567,14.25,0.0644,-0.017544,incorrect
2024-05-28,1615,diamond_top,sell,0.1724,"[0.0, 0.3)",2211958,68.00,0.0599,0.022059,incorrect
2024-05-28,2059,diamond_top,sell,0.0052,"[0.0, 0.3)",1024091,1225.00,0.0014,-0.004082,incorrect
2024-05-28,1583,diamond_top,sell,0.0000,"[0.0, 0.3)",25890,72.10,0.0000,-0.048544,incorrect
2024-05-28,1809,w_bottom,buy,0.4020,"[0.3, 0.6)",6368676,26.95,0.0442,-0.111317,incorrect
2024-05-28,1536,w_bottom,buy,0.1385,"[0.0, 0.3)",1892464,55.30,0.0032,-0.001808,incorrect
2024-05-28,1506,ascending_wedge,buy,0.0000,"[0.0, 0.3)",229890,16.85,0.0000,-0.026706,incorrect
2024-05-29,1455,diamond_top,sell,0.1836,"[0.0, 0.3)",2329315,13.90,0.0995,-0.017986,incorrect
2024-05-29,1615,diamond_top,sell,0.1735,"[0.0, 0.3)",2222874,68.50,0.0603,0.011679,incorrect
2024-05-29,1605,diamond_top,sell,0.6817,"[0.6, 0.9)",23091030,37.35,0.0108,-0.052209,correct
2024-05-29,1305,diamond_top,sell,0.0956,"[0.0, 0.3)",1553399,18.15,0.0085,-0.082645,correct
2024-05-29,1616,m_top,sell,0.3065,"[0.3, 0.6)",4102541,23.95,0.0046,0.014614,incorrect
2024-05-29,2059,diamond_top,sell,0.0066,"[0.0, 0.3)",1031040,1230.00,0.0016,0.020325,incorrect
2024-05-29,1583,diamond_top,sell,0.0000,"[0.0, 0.3)",23827,71.80,0.0000,-0.033426,incorrect
2024-05-29,1809,w_bottom,buy,0.4080,"[0.3, 0.6)",6547574,26.35,0.0202,-0.043643,incorrect
2024-05-29,1471,w_bottom,buy,0.0000,"[0.0, 0.3)",899624,16.85,0.0000,-0.071217,incorrect
2024-05-29,1506,ascending_wedge,buy,0.0000,"[0.0, 0.3)",231953,16.95,0.0000,-0.029499,incorrect
2024-05-30,1605,diamond_top,sell,0.6822,"[0.6, 0.9)",23142221,36.85,0.1608,-0.046133,incorrect
2024-05-30,1455,diamond_top,sell,0.1699,"[0.0, 0.3)",2186969,13.80,0.0920,-0.007246,incorrect
2024-05-30,1616,m_top,sell,0.3015,"[0.3, 0.6)",4008676,23.45,0.0521,0.040512,incorrect
2024-05-30,2059,diamond_top,sell,0.0133,"[0.0, 0.3)",1063341,1165.00,0.0077,0.064378,incorrect
2024-05-30,1583,diamond_top,sell,0.0000,"[0.0, 0.3)",22070,72.20,0.0000,-0.060942,correct
2024-05-30,1323,diamond_top,sell,0.0000,"[0.0, 0.3)",25711,31.10,0.0000,-0.025723,incorrect
2024-05-30,1233,diamond_top,sell,0.0000,"[0.0, 0.3)",17170,33.95,0.0000,0.002946,incorrect
2024-05-30,1809,w_bottom,buy,0.4095,"[0.3, 0.6)",6592353,26.00,0.0045,-0.019231,incorrect
2024-05-30,1471,w_bottom,buy,0.0652,"[0.0, 0.3)",1349957,16.65,0.0033,-0.081081,incorrect
2024-05-30,1506,ascending_wedge,buy,0.0000,"[0.0, 0.3)",220362,16.95,0.0000,0.026549,incorrect
2024-05-31,1605,diamond_top,sell,0.6812,"[0.6, 0.9)",23034791,36.95,0.1693,-0.039242,incorrect
2024-05-31,1616,m_top,sell,0.2913,"[0.0, 0.3)",3824852,23.55,0.0455,0.021231,incorrect
2024-05-31,2059,diamond_top,sell,0.0225,"[0.0, 0.3)",1109168,1125.00,0.0130,0.102222,incorrect
2024-05-31,1583,diamond_top,sell,0.0000,"[0.0, 0.3)",21353,72.10,0.0000,-0.054092,correct
2024-05-31,1582,ascending_wedge,buy,0.4270,"[0.3, 0.6)",7146401,109.50,0.0421,-0.013699,incorrect
2024-05-31,1471,w_bottom,buy,0.0907,"[0.0, 0.3)",1518487,16.05,0.0019,-0.034268,incorrect
2024-06-03,1605,diamond_top,sell,0.6762,"[0.6, 0.9)",22512521,36.65,0.2362,-0.032742,incorrect
2024-06-03,1305,diamond_top,sell,0.1639,"[0.0, 0.3)",2126854,17.80,0.0932,-0.067416,correct
2024-06-03,1616,m_top,sell,0.2741,"[0.0, 0.3)",3534077,23.20,0.0783,0.021552,incorrect
2024-06-03,1617,diamond_top,sell,0.1205,"[0.0, 0.3)",1741463,22.15,0.0435,0.099323,incorrect
2024-06-03,1583,diamond_top,sell,0.0000,"[0.0, 0.3)",19934,72.30,0.0000,-0.058091,correct
2024-06-03,1471,w_bottom,buy,0.1010,"[0.0, 0.3)",1592529,16.05,0.0021,-0.043614,incorrect
