pattern,direction,bucket,signals,correct,incorrect,inconclusive,precision
m_top,sell,"[0.0, 0.3)",536,160,304,72,0.3448
m_top,sell,"[0.3, 0.6)",143,50,91,2,0.3546
m_top,sell,"[0.6, 0.9)",62,10,51,1,0.1639
m_top,sell,"[0.9, 2.0)",17,12,5,0,0.7059
descending_flag,sell,"[0.0, 0.3)",112,26,77,9,0.2524
descending_flag,sell,"[0.3, 0.6)",16,7,8,1,0.4667
descending_flag,sell,"[0.6, 0.9)",7,1,6,0,0.1429
descending_flag,sell,"[0.9, 2.0)",1,0,1,0,0.0000
diamond_top,sell,"[0.0, 0.3)",1067,213,820,34,0.2062
diamond_top,sell,"[0.3, 0.6)",186,37,108,41,0.2552
diamond_top,sell,"[0.6, 0.9)",156,49,76,31,0.3920
diamond_top,sell,"[0.9, 2.0)",14,4,9,1,0.3077
rectangle,neutral,"[0.0, 0.3)",0,0,0,0,0.0000
rectangle,neutral,"[0.3, 0.6)",0,0,0,0,0.0000
rectangle,neutral,"[0.6, 0.9)",0,0,0,0,0.0000
rectangle,neutral,"[0.9, 2.0)",0,0,0,0,0.0000
w_bottom,buy,"[0.0, 0.3)",701,167,534,0,0.2382
w_bottom,buy,"[0.3, 0.6)",641,194,299,148,0.3935
w_bottom,buy,"[0.6, 0.9)",144,36,107,1,0.2517
w_bottom,buy,"[0.9, 2.0)",12,7,2,3,0.7778
ascending_flag,buy,"[0.0, 0.3)",35,9,24,2,0.2727
ascending_flag,buy,"[0.3, 0.6)",9,2,7,0,0.2222
ascending_flag,buy,"[0.6, 0.9)",2,0,2,0,0.0000
ascending_flag,buy,"[0.9, 2.0)",3,2,1,0,0.6667
ascending_wedge,buy,"[0.0, 0.3)",388,66,322,0,0.1701
ascending_wedge,buy,"[0.3, 0.6)",177,61,80,36,0.4326
ascending_wedge,buy,"[0.6, 0.9)",49,13,36,0,0.2653
ascending_wedge,buy,"[0.9, 2.0)",11,8,3,0,0.7273
