stock_id,date,open,high,low,close,volume
00674R,2026-01-02,5.85,5.86,5.81,5.81,1241897
00674R,2026-01-05,5.78,5.8,5.76,5.77,3027194
00674R,2026-01-06,5.73,5.75,5.69,5.7,2096720
00674R,2026-01-07,5.68,5.72,5.67,5.7,2421308
00674R,2026-01-08,5.73,5.77,5.71,5.77,1346246
00674R,2026-01-09,5.72,5.73,5.69,5.71,1000647
00674R,2026-01-12,5.54,5.57,5.54,5.57,2486423
00674R,2026-01-13,5.55,5.56,5.52,5.54,2299785
00674R,2026-01-14,5.53,5.53,5.48,5.49,3127001
00674R,2026-01-15,5.51,5.56,5.51,5.55,996120
00674R,2026-01-16,5.53,5.55,5.53,5.54,909152
00674R,2026-01-19,5.45,5.47,5.44,5.45,1345130
00674R,2026-01-20,5.45,5.46,5.42,5.42,1009193
00674R,2026-01-21,5.32,5.32,5.22,5.22,6470051
00674R,2026-01-22,5.32,5.33,5.29,5.32,2271117
00674R,2026-01-23,5.14,5.16,5.13,5.13,3350469
00674R,2026-01-26,5.05,5.05,4.99,5.03,5860246
00674R,2026-01-27,5.05,5.07,5.01,5.03,2881893
00674R,2026-01-28,4.93,4.93,4.83,4.84,6378966
00674R,2026-01-29,4.63,4.66,4.55,4.58,10525114
00674R,2026-01-30,4.71,4.95,4.7,4.86,15004442
00674R,2026-02-02,5.25,5.44,5.24,5.38,24691440
00674R,2026-02-03,5.0,5.29,5.0,5.19,12756722
00674R,2026-02-04,5.0,5.0,4.91,4.93,12197296
00674R,2026-02-05,4.99,5.21,4.99,5.15,14684743
00674R,2026-02-06,5.28,5.33,5.16,5.16,11472857
00674R,2026-02-09,4.96,5.02,4.93,4.97,10439526
00674R,2026-02-10,4.96,4.97,4.93,4.97,2979425
00674R,2026-02-11,4.95,4.95,4.91,4.92,5589343
00674R,2026-02-23,4.84,4.84,4.8,4.82,4986812
00674R,2026-02-24,4.77,4.83,4.76,4.8,7974938
00674R,2026-02-25,4.82,4.82,4.77,4.77,1741202
00674R,2026-02-26,4.77,4.79,4.77,4.78,2148468
00674R,2026-03-02,4.65,4.67,4.62,4.64,3308271
00674R,2026-03-03,4.64,4.65,4.61,4.63,1939825
00674R,2026-03-04,4.82,4.84,4.8,4.82,3495379
00674R,2026-03-05,4.8,4.82,4.79,4.82,342868
00674R,2026-03-06,4.91,4.91,4.83,4.86,2299196
00674R,2026-03-09,4.95,4.96,4.88,4.88,3584982
00674R,2026-03-10,4.86,4.86,4.8,4.82,467447
00674R,2026-03-11,4.78,4.8,4.77,4.78,1184014
00674R,2026-03-12,4.82,4.85,4.82,4.84,858303
00674R,2026-03-13,4.87,4.89,4.87,4.88,592178
00674R,2026-03-16,4.96,5.0,4.96,4.97,1514585
00674R,2026-03-17,5.0,5.0,4.94,4.94,1489990
00674R,2026-03-18,4.99,5.0,4.96,4.98,1237721
00674R,2026-03-19,5.12,5.15,5.12,5.13,1691834
00674R,2026-03-20,5.33,5.34,5.26,5.26,3268262
00674R,2026-03-23,5.69,5.72,5.59,5.69,9880061
00674R,2026-03-24,5.67,5.75,5.67,5.71,3856570
00674R,2026-03-25,5.44,5.44,5.38,5.44,3522180
00674R,2026-03-26,5.46,5.52,5.45,5.52,2332199
00674R,2026-03-27,5.65,5.65,5.57,5.57,824881
00674R,2026-03-30,5.58,5.58,5.47,5.49,1642146
00674R,2026-03-31,5.46,5.46,5.36,5.44,866575
00674R,2026-04-01,5.27,5.3,5.25,5.28,1854165
00674R,2026-04-02,5.17,5.31,5.17,5.3,876244
00674R,2026-04-07,5.3,5.35,5.3,5.32,1126500
00674R,2026-04-08,5.13,5.15,5.11,5.12,1545173
00674R,2026-04-09,5.25,5.25,5.23,5.23,1574201
00674R,2026-04-10,5.2,5.2,5.17,5.2,1407600
00674R,2026-04-13,5.24,5.25,5.23,5.23,891947
00674R,2026-04-14,5.17,5.19,5.17,5.18,864398
